,username,total_views,avg_views,total_likes,avg_likes,total_comments,total_shares,total_collects,total_videos,engagement_rate,post_freqency,food_related_videos,food_video_percentage
169,ro_thichnauan,1664811.0,184979.0,28257.0,3139.6666666666665,568.0,1819.0,1293.0,9,0.019183558974562278,109.13830729166666,8,88.88888888888889
170,saigon.cogi,25730188.0,61703.08872901679,488197.0,1170.7362110311751,15915.0,101732.0,95272.0,417,0.027248770976721973,0.9746354166666666,102,24.46043165467626
171,saigonbeoreview,39359567.0,121480.1450617284,1818497.0,5612.645061728395,22061.0,200378.0,244457.0,324,0.05806448531306251,2.0539872685185183,251,77.46913580246914
172,saigonhoale.vn,82234598.0,172761.7605042017,2195552.0,4612.504201680672,84036.0,293332.0,377956.0,476,0.03588363136401542,1.0527546296296297,4,0.8403361344537815
173,saigonmap,58140648.0,102903.8017699115,1738690.0,3077.3274336283184,32007.0,272110.0,416671.0,565,0.0423022116987757,1.0023466435185184,539,95.39823008849557
174,saigonspringroll,178428000.0,1108248.447204969,4868594.0,30239.714285714286,34010.0,144059.0,254197.0,161,0.029708678010177774,3.7767650462962963,1,0.6211180124223602
175,saigonvivu.vn,148747455.0,144274.93210475266,4105550.0,3982.1047526673133,115127.0,838862.0,751786.0,1031,0.03906839952320529,0.7644646990740741,240,23.278370514064015
176,sapatv,401085342.0,238032.84391691396,6961932.0,4131.710385756676,82934.0,135972.0,227617.0,1685,0.018471019068056593,0.45438657407407407,883,52.40356083086053
177,spicykim9386,416769900.0,1408006.4189189188,11458779.0,38712.09121621621,80717.0,358807.0,396377.0,296,0.02949992309905298,2.0128819444444446,5,1.6891891891891893
178,stayhealthyeasy,26915725.0,160212.64880952382,820330.0,4882.916666666667,12268.0,29179.0,98754.0,168,0.03568661070805264,3.9812962962962963,77,45.83333333333333
179,sukiii00129,4091187.0,26225.55769230769,116167.0,744.6602564102565,2510.0,13842.0,32865.0,156,0.040424453832103004,2.5840046296296295,72,46.15384615384615
180,sun111992,9157255.0,218029.88095238095,209825.0,4995.833333333333,2792.0,19281.0,57402.0,42,0.031592436816491404,14.090208333333335,41,97.61904761904762
181,sutuanchay_78,77212700.0,395962.5641025641,2864764.0,14691.097435897436,56563.0,135554.0,135450.0,195,0.04134463630982986,3.0099855324074074,0,0.0
182,tebefood,51067804.0,110059.9224137931,1480666.0,3191.0905172413795,16663.0,188922.0,253428.0,464,0.03798242430788682,1.0111574074074074,462,99.56896551724138
183,tebetravelmade,19401390.0,77296.37450199203,534611.0,2129.9243027888447,10133.0,122658.0,165453.0,251,0.04292759436308429,1.982800925925926,164,65.33864541832669
184,tgiangmira,99081992.0,432672.4541484716,3913091.0,17087.733624454148,35646.0,86502.0,249413.0,229,0.04324349877826437,2.0842563657407407,226,98.68995633187772
185,thachthuyhuong_88,170759700.0,828930.5825242718,3853649.0,18707.033980582524,75286.0,373869.0,575590.0,206,0.028568766518095312,2.010358796296296,205,99.51456310679612
186,thangmucbang,244384000.0,651690.6666666666,7872885.0,20994.36,74350.0,172397.0,412347.0,375,0.03491218328532146,1.8676909722222224,321,85.6
187,thanhhungbth85,596299800.0,2494978.242677824,17689681.0,74015.40167364017,259003.0,389820.0,691364.0,239,0.031913255714658965,2.7233304398148146,27,11.297071129707113
188,thanhnureview,23330447.0,128897.49723756906,722432.0,3991.3370165745855,12572.0,119275.0,182268.0,181,0.04442893871686213,3.0044097222222224,101,55.80110497237569
189,thaothao300491,30028190.0,153205.05102040817,601884.0,3070.8367346938776,9903.0,64316.0,162726.0,196,0.027934717343935815,1.2628125000000001,172,87.75510204081633
190,theotheoriviu,34195172.0,88588.52849740932,1629558.0,4221.652849740933,27778.0,251378.0,200790.0,386,0.06169011227666876,1.3451967592592593,351,90.93264248704664
191,thon_foodie,24961852.0,113981.0593607306,673721.0,3076.351598173516,14991.0,171508.0,234672.0,219,0.043862610835125534,2.975217013888889,199,90.8675799086758
192,thukhoedep,34424673.0,42816.75746268657,646883.0,804.5808457711443,16242.0,12569.0,22634.0,804,0.020285682887968174,0.827494212962963,21,2.6119402985074625
193,thuntuoither,150773000.0,295633.3333333333,4097514.0,8034.341176470588,110035.0,930174.0,781089.0,510,0.03925644511948426,1.0381828703703704,433,84.90196078431373
194,thuyvaobepday,10846903.0,69088.5541401274,200822.0,1279.1210191082803,14821.0,31352.0,60038.0,157,0.028306051967091437,1.2275173611111112,154,98.08917197452229
195,tieumanthaune,215978500.0,860472.1115537848,9153959.0,36469.95617529881,44013.0,73978.0,218317.0,251,0.04394079503283892,2.1300491898148146,244,97.21115537848605
196,tieusanhanuong,18356827.0,55965.935975609755,434037.0,1323.283536585366,19135.0,108856.0,163658.0,328,0.03953221327411322,0.7644039351851851,308,93.90243902439023
197,tinathaothidaily,973279000.0,1904655.5772994128,46644882.0,91281.56947162427,410711.0,1503677.0,2002610.0,511,0.0519500369369934,1.0111516203703703,0,0.0
198,tinhtungtangvn,227393717.0,255498.55842696628,5648116.0,6346.197752808989,145755.0,1816297.0,1360225.0,890,0.03944872848003975,0.7291319444444445,855,96.06741573033707
199,titbeolaocai,385490600.0,920025.2983293557,14328010.0,34195.72792362769,88797.0,192372.0,581151.0,419,0.039405189127828276,1.0052459490740742,419,100.0
200,tocvang.hoe,457163000.0,2078013.6363636365,13731903.0,62417.740909090906,256657.0,449753.0,623651.0,220,0.032946594540678054,2.4927430555555556,189,85.9090909090909
201,toiladansaigon,170320280.0,176497.69948186527,3508039.0,3635.2735751295336,113579.0,915965.0,574619.0,965,0.030015227781447988,0.7631105324074073,254,26.321243523316063
202,traanxngg,115628190.0,254127.8901098901,3419358.0,7515.072527472527,27025.0,241163.0,441571.0,455,0.03571029694402377,1.0425231481481483,216,47.47252747252747
203,trade.travatrasua,100655715.0,298681.646884273,2661543.0,7897.753709198813,25741.0,398157.0,282799.0,337,0.033462978232284175,1.9890190972222221,297,88.13056379821958
204,trahanh2000,28932546.0,145389.6783919598,985535.0,4952.437185929648,11682.0,110053.0,148581.0,199,0.043406169647150994,2.955324074074074,61,30.65326633165829
205,trangheothi,32297403.0,290967.5945945946,1072546.0,9662.576576576577,9721.0,79043.0,414469.0,111,0.048789650362909984,5.921255787037037,108,97.2972972972973
206,trangtam2607,225727000.0,1335662.7218934912,11417515.0,67559.26035502959,40671.0,113220.0,347979.0,169,0.052804427472123404,3.9771006944444447,160,94.67455621301775
207,trongtoanreview,131130100.0,575132.0175438597,5972578.0,26195.51754385965,198183.0,311598.0,414096.0,228,0.05259246351524173,2.0205902777777776,204,89.47368421052632
208,truonggiangchannel,1885223800.0,2071674.5054945054,48231721.0,53001.89120879121,584157.0,2280246.0,2652300.0,910,0.02851036784067759,0.7216087962962963,0,0.0
209,ttlhealthyfood,6587131.0,37006.35393258427,210497.0,1182.5674157303372,1383.0,22609.0,108403.0,178,0.05205483236935777,2.5360069444444444,0,0.0
210,tuhieutruong,58775520.0,143006.13138686132,2329866.0,5668.773722627737,38187.0,269850.0,372376.0,411,0.05121654389446491,1.3745023148148148,393,95.62043795620438
211,tuilathinhu,275433700.0,2839522.680412371,16122900.0,166215.46391752578,113565.0,132535.0,344547.0,97,0.060680835351665394,6.071215277777778,25,25.773195876288657
212,tunauan68,205754368.0,279178.24694708275,4818061.0,6537.396200814112,148796.0,105289.0,342188.0,737,0.026314551922416538,0.7197569444444444,717,97.28629579375848
213,tungss93,507753895.0,1346827.3076923077,16374483.0,43433.64190981432,163632.0,133264.0,614671.0,377,0.03404415046387778,1.8170746527777777,304,80.63660477453581
214,tuongvipham720,88710673.0,356267.7630522088,2198341.0,8828.678714859438,29981.0,129354.0,166719.0,249,0.028456496998957498,2.030512152777778,53,21.285140562248998
215,utcungdidau,51681494.0,124533.72048192771,1725351.0,4157.472289156626,32467.0,499734.0,698725.0,415,0.05720184869268679,1.210691550925926,343,82.65060240963855
216,vanhieu2210,36129689.0,77365.50107066381,1438572.0,3080.4539614561027,19095.0,23303.0,134681.0,467,0.04471809873591771,1.0018402777777777,147,31.47751605995717
217,vanthuylinh191,158078700.0,681373.7068965518,3253722.0,14024.663793103447,32694.0,177223.0,569287.0,232,0.025512140471802967,2.1846412037037037,220,94.82758620689656
218,vietphuongthoa98,2366902300.0,6821044.09221902,131648400.0,379390.2017291066,725549.0,1376072.0,4956517.0,347,0.05860256166889525,1.9275260416666666,1,0.2881844380403458
219,vimaay,107484455.0,307098.4428571428,3867885.0,11051.1,42013.0,226556.0,249765.0,350,0.04080793822697431,1.9091666666666667,270,77.14285714285715
220,vinhthichanngon,497747800.0,858185.8620689656,31318602.0,53997.589655172414,364856.0,937172.0,1690097.0,580,0.06893195108044677,1.029039351851852,564,97.24137931034483
221,vitaminkk,281226400.0,1814363.8709677418,12381700.0,79881.93548387097,41989.0,139145.0,575079.0,155,0.046716499588943285,3.9988657407407406,155,100.0
222,vovulamreview,54911396.0,200406.55474452555,1070720.0,3907.7372262773724,29536.0,227265.0,221156.0,274,0.028203198476323566,1.9742939814814815,270,98.54014598540147
223,vuonghoang8800,132452800.0,411344.099378882,4987015.0,15487.624223602485,67282.0,605715.0,710169.0,322,0.04809397007839774,1.9494791666666667,164,50.931677018633536
224,whmie_,3922914.0,68823.05263157895,143012.0,2508.9824561403507,1814.0,5233.0,26621.0,57,0.045037948830894584,9.429754050925926,26,45.614035087719294
225,willinvietnam,232539100.0,1243524.5989304814,10703146.0,57236.07486631016,111747.0,62316.0,375078.0,187,0.0483887956907032,3.451834490740741,128,68.44919786096256
226,wottueat,118921512.0,137322.76212471133,2747953.0,3173.1558891454965,58125.0,446653.0,329261.0,866,0.03012063956939935,0.6192939814814815,194,22.401847575057737
227,xienquelaunuong1989,62368238.0,222743.70714285714,1043210.0,3725.75,19561.0,101649.0,107193.0,280,0.020388791487102778,1.0134027777777777,277,98.92857142857143
228,xo_bep,79077400.0,859536.9565217391,1401823.0,15237.20652173913,17896.0,159778.0,414310.0,92,0.02521336058089922,6.15994212962963,87,94.56521739130434
229,yanfoods,1311524029.0,862844.7559210527,39782955.0,26172.996710526317,383454.0,781349.0,1751421.0,1520,0.03255691703380907,0.6180555555555556,12,0.7894736842105263
230,yangiryna,201214500.0,1136805.0847457626,6739280.0,38075.02824858757,67685.0,45034.0,285787.0,177,0.03547351706760696,3.0803935185185183,49,27.683615819209038
231,yeuhanoithichriviu,62248061.0,359815.38150289014,1477585.0,8540.953757225434,38769.0,162195.0,305130.0,173,0.03186732193955407,3.971941550925926,169,97.6878612716763
232,yuuuuto38,731660700.0,3586572.0588235296,42659650.0,209115.931372549,211009.0,1322450.0,3981279.0,204,0.0658425250939404,3.0108680555555556,0,0.0
233,zackiee.m,36097799.0,143245.2341269841,1166740.0,4629.920634920635,26102.0,252678.0,316018.0,252,0.04879904173658898,2.22162037037037,252,100.0
