,username,total_views,avg_views,total_likes,avg_likes,total_comments,total_shares,total_collects,total_videos,engagement_rate,post_freqency,food_related_videos,food_video_percentage
18,ansongnoigio,118095300.0,929884.2519685039,5141066.0,40480.83464566929,23013.0,109253.0,219883.0,127,0.04651510263321233,1.9515943287037036,125,98.4251968503937
19,anvattuoithoo1,176614100.0,1051274.4047619049,3260209.0,19406.005952380954,36433.0,121978.0,310717.0,168,0.021115737644955865,1.0750462962962963,145,86.30952380952381
20,anvedem,415709400.0,1198009.7982708933,15418327.0,44433.21902017291,111825.0,295076.0,799345.0,347,0.03999085178251923,1.9061487268518518,264,76.0806916426513
21,bachuareview,150075379.0,222333.89481481482,3805950.0,5638.444444444444,89739.0,1041818.0,1179006.0,675,0.040756272219709004,0.9839380787037038,672,99.55555555555556
22,bang.bang.oi,34143945.0,115742.18644067796,508262.0,1722.922033898305,16052.0,176576.0,28997.0,295,0.021376762409850415,1.074207175925926,295,100.0
23,banhudayyy,131860259.0,380000.7463976945,4923656.0,14189.21037463977,65079.0,302132.0,422731.0,347,0.043330705121700085,1.7880381944444446,318,91.64265129682997
24,baoyennaucom,130239317.0,398285.37308868504,2844908.0,8700.024464831804,67780.0,520965.0,444453.0,327,0.029776768562138574,1.0510503472222223,326,99.69418960244649
25,bepcongchua25,41563007.0,290650.3986013986,489812.0,3425.2587412587413,14685.0,33726.0,75459.0,143,0.014765101090977369,3.9912008101851852,122,85.3146853146853
26,bepnhachin,111681647.0,322779.32658959535,1749085.0,5055.158959537573,52789.0,311531.0,296008.0,346,0.021573938643651987,1.0065162037037036,331,95.66473988439307
27,bepnhano,220116600.0,714664.2857142857,5443398.0,17673.37012987013,33490.0,201311.0,726608.0,308,0.029097337502033013,2.0,286,92.85714285714286
28,beptruongreview,107479613.0,399552.46468401485,3004819.0,11170.330855018587,33159.0,105256.0,193519.0,269,0.03104545045207783,2.101394675925926,221,82.15613382899627
29,bestfoodintownn,18018907.0,74458.29338842975,586405.0,2423.1611570247933,3713.0,16735.0,34866.0,242,0.03561364737605894,2.6435532407407405,73,30.165289256198346
30,binbunne,495845200.0,999687.9032258064,17185042.0,34647.2620967742,129044.0,958254.0,2898867.0,496,0.042697210742384924,1.0964814814814814,494,99.59677419354838
31,binhl3,46474200.0,418686.4864864865,2020885.0,18206.171171171172,15585.0,14526.0,63194.0,111,0.04549169216468492,1.5038252314814813,0,0.0
32,biteswithlily,411419700.0,3140608.396946565,37414800.0,285609.1603053435,112158.0,1018818.0,2596205.0,131,0.10000002673668762,4.559372106481482,1,0.7633587786259541
33,bon.tq1,490297500.0,1396858.9743589743,10866664.0,30959.156695156697,134085.0,1108210.0,2032303.0,351,0.028842207027366038,1.9601244212962963,333,94.87179487179486
34,boytubynv02,27576700.0,745316.2162162162,871490.0,23553.783783783783,13034.0,18434.0,63519.0,37,0.0350468692773247,7.995940393518519,35,94.5945945945946
35,buanaodian,32102841.0,125401.72265625,774010.0,3023.4765625,19273.0,240424.0,225985.0,256,0.0392392685743919,2.082800925925926,245,95.703125
36,camap.duu,48026739.0,294642.5705521472,973466.0,5972.184049079755,14267.0,95751.0,231265.0,163,0.027375354383315512,3.1178269675925923,162,99.38650306748467
37,canquetsaigon,81007090.0,217760.99462365592,2849552.0,7660.086021505376,33140.0,410484.0,539409.0,372,0.04731172296153337,1.7773842592592592,274,73.65591397849462
