,author.uniqueId,total_views,avg_views,total_likes,avg_likes,total_comments,total_shares,total_collects,total_reposts,total_videos,followers,engagement_rate
5384,tiemnhamin123,1884,1884.0,117,117.0,0,0,0,0,1,4541,0.06210191082802548
5385,tiemnhanavy,280166,280166.0,3473,3473.0,61,335,347,0,1,9298,0.015048221411591699
5386,tiemnhatao97,70829,70829.0,177,177.0,51,167,42,0,1,25300,0.0061697892106340625
5387,tiemnuocduamrquy_xinchao,202505,202505.0,1060,1060.0,142,398,295,0,1,4244,0.009357793634725069
5388,tiemnuongnotrongvuon,1200501,400167.0,30866,10288.666666666666,425,8344,3588,0,3,11800,0.03600413494032908
5389,tiemsuongsao,607,607.0,3,3.0,0,0,0,0,1,4,0.004942339373970346
5390,tiemtaphoa8x9x,2992860,498810.0,19294,3215.6666666666665,86,691,2361,0,6,172800,0.0074951718423180505
5391,tiemtaphoaanngon,310535,310535.0,4702,4702.0,169,243,942,0,1,6502,0.019501827491265073
5392,tiemtaphoatvc,2791255,2791255.0,138460,138460.0,1631,3260,5472,0,1,329400,0.05331759369889172
5393,tiemtauhu,7318731,7318731.0,122422,122422.0,567,1641,3247,0,1,6895,0.017472564574377715
5394,tiemtotbung,11680,11680.0,92,92.0,11,24,31,0,1,395,0.013527397260273973
5395,tiemtraanyenofficial,433683,433683.0,38637,38637.0,237,1305,11667,0,1,89400,0.11954814922420293
5396,tiemtracody,87048,87048.0,2352,2352.0,552,264,483,0,1,55600,0.041942376619795975
5397,tiemtradautorang,927371,463685.5,21864,10932.0,400,3268,4868,0,2,144300,0.032780839599254236
5398,tiemtradn,57887,57887.0,388,388.0,27,215,56,0,1,12900,0.011850674590149775
5399,tiemtradongday,346431,346431.0,6807,6807.0,65,57,244,0,1,38800,0.02070542185889831
5400,tiemtramo.milktea,15909,15909.0,270,270.0,31,64,63,0,1,2475,0.026903010874347853
5401,tiemtraquindygovap,262149,131074.5,4647,2323.5,192,850,1071,0,2,3057,0.025786861670271485
5402,tiemtratorangne24,616615,205538.33333333334,4677,1559.0,143,554,577,0,3,8945,0.009651078874175944
5403,tien3062006,657352,657352.0,31989,31989.0,240,1724,2115,0,1,372,0.05486862442040186
5404,tien_kitchen,840583,840583.0,12796,12796.0,224,1983,6233,0,1,27200,0.02526341836558674
5405,tienbeols87,21861462,21861462.0,31998,31998.0,910,906,3666,0,1,155600,0.0017144324565301259
5406,tienbinh222,123,123.0,13,13.0,1,2,0,0,1,90,0.13008130081300814
5407,tiendatvivu,11148,11148.0,319,319.0,4,7,32,0,1,14300,0.03247219232149264
5408,tiengnhat21ngay,33420,33420.0,706,706.0,1,52,327,0,1,24000,0.03249551166965889
5409,tienpham0905,1420520,1420520.0,41243,41243.0,423,16494,1210,0,1,154400,0.041794554106946755
5410,tienthanh.0792,84519,42259.5,346,173.0,70,51,54,0,2,3257,0.006164294419006377
5411,tienthipham,475107,475107.0,10919,10919.0,138,1072,2053,0,1,18600,0.029850117973424933
5412,tientruyenthong23,638316,638316.0,22155,22155.0,1334,639,589,0,1,37300,0.03872220028951178
5413,tiepgie,1370,1370.0,52,52.0,15,7,4,0,1,615,0.05693430656934306
5414,tiepsucuocmo,7569,7569.0,519,519.0,12,1,36,0,1,155300,0.07504293830096447
5415,tiettsansan,5685,5685.0,18,18.0,12,3,22,0,1,253,0.009674582233948988
5416,tieuan9x,1672,1672.0,74,74.0,14,2,3,0,1,5660,0.05562200956937799
5417,tieudaudau.2023,232751,232751.0,2285,2285.0,0,52,191,0,1,1304,0.010861392647077778
5418,tieuhoa3012,439,439.0,29,29.0,3,0,2,0,1,4482,0.0774487471526196
5419,tieulacdi_nh,1062699,531349.5,16803,8401.5,292,763,2430,0,2,24200,0.019091012600934036
5420,tieulinhnhi2kw,7938349,7938349.0,236920,236920.0,387,780,6921,0,1,168100,0.03086384838963366
5421,tieulinhthichancay,203982,203982.0,37907,37907.0,114,8287,7194,0,1,18600,0.26228784892784657
5422,tieulongbao2024,511970,511970.0,11207,11207.0,224,2139,791,0,1,22100,0.0280504717073266
5423,tieumanthaune,23536517,2942064.625,1218743,152342.875,3242,8331,25093,0,8,3300000,0.05333877565656805
5424,tieumaomaofood,306486,306486.0,13651,13651.0,79,117,1093,0,1,285200,0.04874610912080813
5425,tieumienmien6666,2892407,1446203.5,107329,53664.5,439,5273,5703,0,2,458300,0.041053696799931684
5426,tieumilonton,108630,54315.0,1798,899.0,75,3264,723,0,2,27600,0.05394458252784682
5427,tieumyanngon,12156664,3039166.0,294350,73587.5,4151,4088,35598,0,4,177500,0.027819062861324455
5428,tieunhou,110901,110901.0,2438,2438.0,55,465,700,0,1,80900,0.03298437345019432
5429,tieusanhanuong,3812593,200662.7894736842,91815,4832.368421052632,3289,23791,45435,0,19,25800,0.043101899415961785
5430,tieuthien9999,38209,38209.0,105,105.0,5,6,43,0,1,42400,0.004161323248449318
5431,tieuthudaugau,422,422.0,39,39.0,1,0,1,0,1,1392,0.0971563981042654
5432,tieutrongtin,2647029,2647029.0,80506,80506.0,398,2873,3592,0,1,24300,0.03300643853920754
5433,tieutrusu,2200211,2200211.0,48897,48897.0,66,698,4272,0,1,21100,0.02451264901411728
5434,tiffanydamdidamnoi,858383,858383.0,16142,16142.0,205,1380,1416,0,1,14000,0.022301233831518098
5435,tiktok.vutran90,273,273.0,32,32.0,5,0,1,0,1,1922,0.1391941391941392
5436,tiktok2k366,60581332,60581332.0,774578,774578.0,6785,65197,35774,0,1,130400,0.014564453617493917
5437,tiktokcuacong7,3927307,3927307.0,136198,136198.0,739,7346,23161,0,1,642400,0.04263583162711752
5438,tiktokcuathuan12,88674,44337.0,2287,1143.5,95,340,235,0,2,107500,0.033346866048672666
5439,tiktokshopz12,349,349.0,3,3.0,3,1,3,0,1,5738,0.02865329512893983
5440,tiktokvn,35973051,35973051.0,45379,45379.0,253,730,356,0,1,2500000,0.0012986944032075567
5441,tila.yanhe_205,21534,21534.0,2439,2439.0,30,14,273,0,1,7032,0.12798365375684964
5442,tim.ti.mnh,13525,13525.0,1003,1003.0,11,19,65,0,1,18,0.0811829944547135
5443,timdoantv,774,774.0,99,99.0,0,0,2,0,1,121,0.13049095607235142
5444,timhieukienthucamthuc,19187,19187.0,49,49.0,4,4,5,0,1,1037,0.0032313545629853546
5445,timidol2,427,427.0,15,15.0,0,0,0,0,1,28,0.0351288056206089
5446,tin.lam53,614692,204897.33333333334,10422,3474.0,350,1027,1349,0,3,29700,0.02138957396549817
5447,tina.uyen1992,42370,42370.0,1348,1348.0,467,15,31,0,1,1541,0.04392258673589804
5448,tinahauan,377870,188935.0,10840,5420.0,66,266,889,0,2,14200,0.03191838462963453
5449,tinathaothidaily,17139524,1904391.5555555555,687648,76405.33333333333,8626,60179,79301,0,9,1900000,0.048761797585510545
5450,tinathuy8491,1072890,1072890.0,26550,26550.0,248,164,939,0,1,43500,0.02600546188332448
5451,tinatrang92,55995,4666.25,429,35.75,13,118,227,0,12,1163,0.01405482632377891
5452,tinatrinh25,11317,11317.0,406,406.0,43,22,75,0,1,85700,0.048246001590527526
5453,tingocoffee,410,410.0,10,10.0,2,0,0,0,1,64,0.02926829268292683
5454,tinh_titi,613398,613398.0,26990,26990.0,193,858,1192,0,1,1001,0.047657475244457924
5455,tinhanofficial,336725,336725.0,11398,11398.0,280,403,839,0,1,56900,0.03836958942757443
5456,tinhhoagomsu,69463,69463.0,1705,1705.0,11,172,48,0,1,53200,0.027870952881390094
5457,tinhhoavungcao,6578,6578.0,298,298.0,0,15,21,0,1,80,0.050775311644876864
5458,tinhnayangi,14740,14740.0,290,290.0,9,4,30,0,1,1762,0.02259158751696065
5459,tinhthobame4con,1519730,1519730.0,17950,17950.0,231,3374,5016,0,1,21300,0.017484026767912723
5460,tinhtimtoi,351280,351280.0,10809,10809.0,220,4588,4479,0,1,45200,0.05720792530175359
