Video ID,Bitrate,Codec Type,Quality Type
7361403623009455361,313915,h265_hvc1,14
7361403623009455361,297012,h265_hvc1,28
7403221287398640912,1476640,h264,20
7403221287398640912,1475895,h265_hvc1,2
7403221287398640912,617515,h265_hvc1,14
7403221287398640912,530965,h265_hvc1,28
7365523151985397008,1126288,h265_hvc1,2
7365523151985397008,831007,h264,20
7365523151985397008,546955,h265_hvc1,14
7365523151985397008,439710,h265_hvc1,28
7406541232228306192,1707365,h264,20
7406541232228306192,1422867,h265_hvc1,2
7406541232228306192,647192,h265_hvc1,14
7406541232228306192,550822,h265_hvc1,28
7246577405836692742,2083267,h265_hvc1,2
7246577405836692742,1436540,h264,20
7246577405836692742,850978,h264,24
7246577405836692742,839615,h265_hvc1,14
7246577405836692742,804484,h265_hvc1,28
7141980493263703323,1484508,h264,20
7141980493263703323,991486,h265_hvc1,14
7141980493263703323,818346,h264,24
7141980493263703323,749189,h265_hvc1,28
7446667515322797319,1087964,h264,20
7446667515322797319,1031714,h265_hvc1,2
7446667515322797319,467860,h265_hvc1,14
7446667515322797319,377778,h265_hvc1,28
7385584091564952850,660630,h264,20
7385584091564952850,565834,h265_hvc1,2
7385584091564952850,355440,h265_hvc1,14
7385584091564952850,299441,h265_hvc1,28
7302218546585570561,1311818,h265_hvc1,2
7302218546585570561,1289225,h264,20
7302218546585570561,837350,h265_hvc1,14
7302218546585570561,668266,h265_hvc1,28
7193901546533309722,1191313,h264,20
7193901546533309722,678485,h265_hvc1,14
7193901546533309722,559368,h265_hvc1,28
7453709882936757522,1431641,h265_hvc1,2
7453709882936757522,1280876,h264,20
7453709882936757522,811310,h265_hvc1,14
7453709882936757522,664527,h265_hvc1,28
7022984948353158427,1330029,h264,20
7022984948353158427,1065848,h265_hvc1,14
7022984948353158427,714678,h265_hvc1,28
7022984948353158427,680046,h264,24
7292228850010819841,1490707,h264,20
7292228850010819841,1069193,h265_hvc1,14
7292228850010819841,843441,h265_hvc1,28
7080854881371737370,908018,h264,20
7080854881371737370,546575,h265_hvc1,14
7080854881371737370,540344,h264,24
7080854881371737370,474590,h265_hvc1,28
7307154021855382786,639985,h264,20
7307154021855382786,467198,h265_hvc1,28
7295656023493283080,948218,h264,20
7295656023493283080,512867,h265_hvc1,14
7295656023493283080,435952,h265_hvc1,28
7410705483029351688,1696550,h265_hvc1,2
7410705483029351688,1571175,h264,20
7410705483029351688,681173,h265_hvc1,14
7410705483029351688,568890,h265_hvc1,28
7432237804920311058,1247807,h265_hvc1,2
7432237804920311058,1100538,h264,20
7432237804920311058,678426,h265_hvc1,14
7432237804920311058,584081,h265_hvc1,28
7419596220601076999,1450719,h264,20
7419596220601076999,1385948,h265_hvc1,2
7419596220601076999,656386,h265_hvc1,14
7419596220601076999,575410,h265_hvc1,28
7398135938360069392,1256360,h264,20
7398135938360069392,987662,h265_hvc1,2
7398135938360069392,597239,h265_hvc1,14
7398135938360069392,549585,h265_hvc1,28
7245663350116404486,627258,h265_hvc1,14
7245663350116404486,554793,h264,20
7245663350116404486,510567,h265_hvc1,28
7245663350116404486,290895,h264,24
7252201029578640646,1250945,h265_hvc1,2
7252201029578640646,1126474,h264,20
7252201029578640646,781044,h265_hvc1,14
7252201029578640646,609379,h265_hvc1,28
7252201029578640646,608307,h264,24
7266373990048910600,1267301,h264,20
7266373990048910600,767958,h265_hvc1,14
7266373990048910600,620416,h265_hvc1,28
7134663615868718362,2380623,h264,20
7134663615868718362,1353030,h264,24
7134663615868718362,1310793,h265_hvc1,14
7134663615868718362,1273987,h265_hvc1,28
7250353141043023109,836303,h265_hvc1,2
7250353141043023109,366160,h265_hvc1,14
7250353141043023109,360865,h264,20
7250353141043023109,262521,h265_hvc1,28
7250353141043023109,166571,h264,24
7380646800706882824,1738174,h264,20
7380646800706882824,1169095,h265_hvc1,14
7380646800706882824,913970,h265_hvc1,28
7274291312168291585,1065317,h264,20
7274291312168291585,702707,h265_hvc1,14
7274291312168291585,609280,h265_hvc1,28
7228005820724808965,1068358,h264,20
7228005820724808965,672179,h264,24
