Video ID,Anchor Type,Anchor Title
7423214091273014546,35,
7351695790034717960,35,
7236241987219819782,35,
7293014732200611073,35,
7468966854980062472,54,
7468966854980062472,35,
7398341489031482632,54,
7378121840553708817,54,
7425662881049398544,35,
7318984288572099841,35,
7258135392635915525,35,
7468565845225114887,35,
7441461606715772178,54,
7452124978088103175,35,
7275646511126433032,35,
7386691996183743745,35,
7442201124590980353,35,
7368903170673626376,35,
7376232560852028680,54,
7287098756049227009,35,
7462001987278687496,35,
7371071857790897426,54,
7355825992553827592,35,
7329403211146595585,35,
7287814036840910081,35,
7245186960095005958,35,
7398737350425087250,54,
7321361884303625479,54,
7428192787188682002,54,
7428250036909214994,54,
7378202978676641042,54,
7398098818291551509,54,
7433486096677244167,35,
7239295889548905733,54,
7220626946424671514,54,
7255451027531484421,54,
7255451027531484421,35,
7459758596885204231,54,
7411338226788551952,54,
7438830488850091271,54,
7201830648925965595,35,
7444766553578409234,54,
7441588728201481480,54,
7371799918693846277,54,
7327627311900036360,54,
7350899791267777793,54,
7208379094952709403,35,
7418090793350532359,54,
7418090793350532359,35,
7337675379085200641,54,
7341623487519345927,54,
7319725508273507591,54,
7400293060254420241,54,
7411928373586300168,54,
7322728370033216770,54,
7110499051400973594,28,
7349800686063783169,54,
7377076734274850055,54,
7427084193810615559,54,
7389201983682399489,54,
7389201983682399489,35,
7420415122180410645,54,
7420415122180410645,35,
7354022000832171281,35,
7415590998551678226,35,
7243273637351017734,35,
7404800964919659777,35,
7308379558267374850,35,
7455503596772199688,35,
7420299033542970645,54,
7420299033542970645,35,
7318786592682904839,35,
7302636981886913800,54,
7302636981886913800,35,
7423318988748295444,35,
7382211314124344593,54,
7382211314124344593,35,
7459669883220004104,54,
7459669883220004104,35,
7196894866486349082,28,
7196894866486349082,35,
7383567209936735489,54,
7383567209936735489,35,
7448924913739631880,54,
7458968550905105671,35,
7273335924316998913,28,
7273335924316998913,35,
7251923242338749701,28,
7215918574781615387,28,
7236591494700764422,28,
7359439276372790536,54,
7237430481397091589,35,
7460095263349148935,54,
7331316327354846472,54,
7261958907906575617,35,
7382825190016797969,54,
7323396651161292040,54,
7462819713605831954,54,
7468129129142013191,32,
7458069886657596677,54,
7340615792515419393,54,
7449215402682436870,54,
7382206699983211792,54,
7314145130678717714,54,
7464447945098677512,32,
7464447567196196103,54,
7450364353578093867,54,
7377757602702249237,54,
7358372727742401824,54,
7382491169739115808,54,
7081069262827212059,26,
7445673140610403591,54,
7457015518487203089,54,
7380708915195038994,54,
7312387353409015042,54,
7431588220137213192,54,
7379185801546009872,54,
7344998529867222280,54,
