Video ID,Hashtag ID,Hashtag Name,Hashtag View Count
7399805813214252295,1604496473403393,xuhuong,0
7399805813214252295,1616799766431745,amthucvietnam,0
7399805813214252295,1595890763902978,monanngon,0
7435934235216694545,1626598482572290,monngonnhalam,0
7435934235216694545,1599341507576834,monngonmoingay,0
7435934235216694545,1608116289805313,amthuc,0
7435934235216694545,1644516955140097,amthuctrunghoa,0
7362478624152374546,1608116289805313,amthuc,0
7362478624152374546,1611322645475330,thèmăn,0
7362478624152374546,1648635345902593,amthuctiktok,0
7362478624152374546,1604399499416578,anuong,0
7290014048840633602,7287577803250204674,huongamthuc,0
7290014048840633602,1650765597507586,amthucquehuong,0
7290014048840633602,1625688002141185,muckho,0
7290014048840633602,1632235642364930,xuhuongtiktok,0
7197387405995904298,1648635345902593,amthuctiktok,0
7197387405995904298,46088205,nauan,0
7197387405995904298,18973,cooking,0
7197387405995904298,1604611668845570,monngon,0
7197387405995904298,87329122,kechuyen,0
7453016058337758482,1604496473403393,xuhuong,0
7453016058337758482,5600217,mukbang,0
7453016058337758482,1636101895050242,ancungtiktok,0
7442898003553176840,1596913302815745,hômnayăngì,0
7442898003553176840,1642468429560834,mónngonmỗingày,0
7442898003553176840,1632235642364930,xuhuongtiktok,0
7442898003553176840,1636483010861062,learnontiktok,0
7442898003553176840,1612019024843778,nauankhongkho,0
7442898003553176840,20884,viral,0
7442898003553176840,1622143396113410,thinhhanh,0
7442898003553176840,1600277656733698,phocuon,0
7442898003553176840,1706270166639625,thuyvaobep,0
7378860573011791111,1636101895050242,ancungtiktok,0
7378860573011791111,1582562928207885,tiktokfood,0
7378860573011791111,1636483010861062,learnontiktok,0
7378860573011791111,1604297750222853,longervideos,0
7378860573011791111,1709057467370497,amthuc48h,0
7378860573011791111,1604496473403393,xuhuong,0
7198132467608358171,1699155403955201,nganamtv,0
7198132467608358171,25080538,mientay,0
7198132467608358171,1604611668845570,monngon,0
7198132467608358171,1604399499416578,anuong,0
7198132467608358171,1608116289805313,amthuc,0
7198132467608358171,1604496473403393,xuhuong,0
7198132467608358171,229207,fyp,0
7198132467608358171,1611019396421633,dacsanmientay,0
7198132467608358171,1596568801191938,lẩu,0
7348019242580708616,1604496473403393,xuhuong,0
7348019242580708616,7215456697031065626,trangnguyenđt,0
7348019242580708616,1636101895050242,ancungtiktok,0
7348019242580708616,1599341507576834,monngonmoingay,0
7348019242580708616,7348018868604174338,laukhoquachacathaclac,0
7348019242580708616,7348016944664510465,lauchacathaclac,0
7348019242580708616,1703000208526338,canhkhoquacathaclac,0
