video_path,duration_seconds,subtitle_text
data/raw/videos\sachhay\hellodituyet_7356960208192687378.mp4,0,No subtitles found
data/raw/videos\sachhay\hieusachcuatan_7351031369008467201.mp4,0,No subtitles found
data/raw/videos\sachhay\hn8324_7328715078444780802.mp4,0,No subtitles found
data/raw/videos\sachhay\hoctapoday_7189580063719902490.mp4,0,No subtitles found
data/raw/videos\sachhay\isachhay_7462758603137584392.mp4,0,No subtitles found
data/raw/videos\sachhay\ivybook96_7434150169844681991.mp4,0,No subtitles found
data/raw/videos\sachhay\ivybook96_7456785201994337543.mp4,0,No subtitles found
data/raw/videos\sachhay\khah_llinnh.02_7349888890049694984.mp4,0,No subtitles found
data/raw/videos\sachhay\lionbooks7_7402565085169798408.mp4,0,No subtitles found
data/raw/videos\sachhay\mandocsach_7177976587202088219.mp4,0,No subtitles found
data/raw/videos\sachhay\mireader304_7382928920066198802.mp4,0,No subtitles found
data/raw/videos\sachhay\ngaydepvoisach_7257564729286135046.mp4,0,No subtitles found
data/raw/videos\sachhay\philinhngok_7445164008916782344.mp4,0,No subtitles found
data/raw/videos\sachhay\readingwith.h_7261584240700165377.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay56_7245411427312274694.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7160333418805382426.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7163277368138698010.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7163303453463219482.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7185203232338185498.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7188131183698447643.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7230432759561374981.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7231932027199606022.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7232865654590770438.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7244403134787800325.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7245282718970334470.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7246633137722199302.mp4,0,No subtitles found
